[14-Aug-2014 16:42:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_DBNAME in /var/www/html/framework2/php/mysql.properties.php on line 14
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_HOST in /var/www/html/framework2/php/mysql.properties.php on line 14
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Notice:  Undefined variable: pdo in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Fatal error:  Call to a member function query() on a non-object in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_DBNAME in /var/www/html/framework2/php/mysql.properties.php on line 14
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_HOST in /var/www/html/framework2/php/mysql.properties.php on line 14
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Notice:  Undefined variable: pdo in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Fatal error:  Call to a member function query() on a non-object in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_DBNAME in /var/www/html/framework2/php/mysql.properties.php on line 14
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_HOST in /var/www/html/framework2/php/mysql.properties.php on line 14
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Notice:  Undefined variable: pdo in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 16:42:07 Europe/Berlin] PHP Fatal error:  Call to a member function query() on a non-object in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 16:42:26 Europe/Berlin] PHP Notice:  Undefined variable: pdo in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 16:42:26 Europe/Berlin] PHP Fatal error:  Call to a member function query() on a non-object in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 17:47:30 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to FlagLanguageBar::getHTML() must be of the type array, object given, called in /var/www/html/framework2/php/LanguageDaoTest.php on line 15 and defined in /var/www/html/framework2/php/FlagLanguageBar.php on line 5
[14-Aug-2014 17:49:22 Europe/Berlin] PHP Fatal error:  Class 'dao\Language' not found in /var/www/html/framework2/php/dao/LanguageDao.php on line 28
[14-Aug-2014 17:53:50 Europe/Berlin] PHP Fatal error:  Call to a member function fetch() on a non-object in /var/www/html/framework2/php/dao/LanguageDao.php on line 28
